Module	AF58_S44__interleaved_Abundance-RPKs	AF60_S79__interleaved_Abundance-RPKs	AF77_S14__interleaved_Abundance-RPKs	AF69_S38__interleaved_Abundance-RPKs	AF72_S54__interleaved_Abundance-RPKs	AF15_S62__interleaved_Abundance-RPKs	AF78_S16__interleaved_Abundance-RPKs	AF28_S21__interleaved_Abundance-RPKs	AF61_S50__interleaved_Abundance-RPKs	AF11_S70__interleaved_Abundance-RPKs	AF33_S15__interleaved_Abundance-RPKs	AF29_S10__interleaved_Abundance-RPKs	AF01_S88__interleaved_Abundance-RPKs	AF14_S47__interleaved_Abundance-RPKs	AF70_S17__interleaved_Abundance-RPKs	AF83_S53__interleaved_Abundance-RPKs	AF03_S22__interleaved_Abundance-RPKs	AF24_S65__interleaved_Abundance-RPKs	AF23_S76__interleaved_Abundance-RPKs	AF22_S59__interleaved_Abundance-RPKs	AF16_S12__interleaved_Abundance-RPKs	AF46_S84__interleaved_Abundance-RPKs	AF19_S87__interleaved_Abundance-RPKs	AF76_S40__interleaved_Abundance-RPKs	AF51_S34__interleaved_Abundance-RPKs	AF18_S72__interleaved_Abundance-RPKs	AF75_S28__interleaved_Abundance-RPKs	AF35_S19__interleaved_Abundance-RPKs	AF38_S55__interleaved_Abundance-RPKs	AF42_S33__interleaved_Abundance-RPKs	AF41_S66__interleaved_Abundance-RPKs	AF89_S94__interleaved_Abundance-RPKs	AF90_S9__interleaved_Abundance-RPKs	AF27_S52__interleaved_Abundance-RPKs	AF54_S1__interleaved_Abundance-RPKs	AF93_S77__interleaved_Abundance-RPKs	AF32_S2__interleaved_Abundance-RPKs	AF55_S20__interleaved_Abundance-RPKs	AF04_S45__interleaved_Abundance-RPKs	AF10_S92__interleaved_Abundance-RPKs	AF53_S42__interleaved_Abundance-RPKs	AF80_S37__interleaved_Abundance-RPKs	AF44_S31__interleaved_Abundance-RPKs	AF92_S63__interleaved_Abundance-RPKs	AF34_S41__interleaved_Abundance-RPKs	AF06_S67__interleaved_Abundance-RPKs	AF65_S80__interleaved_Abundance-RPKs	AF74_S35__interleaved_Abundance-RPKs	AF91_S23__interleaved_Abundance-RPKs	AF64_S82__interleaved_Abundance-RPKs	AF48_S89__interleaved_Abundance-RPKs	AF88_S48__interleaved_Abundance-RPKs	AF25_S7__interleaved_Abundance-RPKs	AF26_S11__interleaved_Abundance-RPKs	AF84_S8__interleaved_Abundance-RPKs	AF62_S71__interleaved_Abundance-RPKs	AF94_S51__interleaved_Abundance-RPKs	AF02_S91__interleaved_Abundance-RPKs	AF86_S24__interleaved_Abundance-RPKs	AF59_S75__interleaved_Abundance-RPKs	AF79_S93__interleaved_Abundance-RPKs	AF81_S6__interleaved_Abundance-RPKs	AF47_S74__interleaved_Abundance-RPKs	AF82_S5__interleaved_Abundance-RPKs	AF37_S4__interleaved_Abundance-RPKs	AF67_S46__interleaved_Abundance-RPKs	AF12_S32__interleaved_Abundance-RPKs	AF45_S73__interleaved_Abundance-RPKs	AF63_S57__interleaved_Abundance-RPKs	AF57_S18__interleaved_Abundance-RPKs	AF52_S83__interleaved_Abundance-RPKs	AF71_S39__interleaved_Abundance-RPKs	AF05_S69__interleaved_Abundance-RPKs	AF39_S49__interleaved_Abundance-RPKs	AF08_S78__interleaved_Abundance-RPKs	AF49_S36__interleaved_Abundance-RPKs	AF73_S58__interleaved_Abundance-RPKs	AF09_S68__interleaved_Abundance-RPKs	AF31_S3__interleaved_Abundance-RPKs	AF40_S27__interleaved_Abundance-RPKs	AF87_S30__interleaved_Abundance-RPKs	AF21_S85__interleaved_Abundance-RPKs	AF43_S86__interleaved_Abundance-RPKs	AF66_S60__interleaved_Abundance-RPKs	AF50_S90__interleaved_Abundance-RPKs	AF36_S26__interleaved_Abundance-RPKs	AF20_S56__interleaved_Abundance-RPKs	AF68_S43__interleaved_Abundance-RPKs	AF85_S81__interleaved_Abundance-RPKs	AF30_S61__interleaved_Abundance-RPKs	AF07_S29__interleaved_Abundance-RPKs	AF17_S25__interleaved_Abundance-RPKs	AF56_S64__interleaved_Abundance-RPKs
MGB012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5391105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MGB035	0.0	0.0	398.129	0.0	80.1749	0.0	0.0	411.489	0.0	220.53	0.0	81.1618	0.0	68.9352	0.0	0.0	0.0	0.0	158.555	0.0	0.0	0.0	380.758	0.0	131.132	8.51435	0.0	0.0	0.0	0.0	53.7769	0.0	0.0	199.977	17.1856	0.0	421.097	163.744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	468.375	40.0615	0.0	0.0	37.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.7564	0.0	14.3834	0.0	140.704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	322.077	0.0	0.0	0.0	0.0	129.753	387.521	0.0	347.385	0.0	27.559	0.0	0.0	0.0	33.5459	0.0	0.0	0.0	63.6616	0.0
MGB036	595.455	45.3745	141.351	683.186	554.557	122.79	726.577	149.769	986.438	181.732	78.3235	625.199	3.35946	226.712	581.614	519.681	318.816	253.56	588.227	337.528	464.329	228.176	571.202	358.399	492.309	639.361	0.0	50.2665	655.392	602.591	604.462	180.145	127.311	696.221	301.167	716.655	146.626	607.773	552.956	78.5204	555.056	661.185	265.687	1180.59	655.394	302.848	743.341	433.505	516.733	628.045	376.159	809.101	377.028	427.277	297.869	321.857	1276.67	4.95531	730.522	326.017	0.0	466.262	404.798	372.487	196.562	394.249	310.253	319.547	842.912	349.825	500.646	806.252	36.9154	592.465	12.5818	1093.98	384.041	448.326	585.639	161.309	828.482	548.843	103.831	716.146	30.5991	0.0	655.092	595.065	224.972	611.792	0.0	318.608	141.418
MGB052	0.0	0.0	0.0	0.0	0.0	21.5095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.1493	0.0	0.0	0.0	0.0	0.0	0.0	95.7928	4.85259	0.0	3.26687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.85139	0.0	1.87825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0729	0.0	148.497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.1515	0.0	0.0	0.0	0.0	8.26965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MGB031	232.085	0.0	0.0	10.4577	0.0	18.6158	21.9898	0.0	0.0	2.31332	12.2389	144.384	0.0	0.0	4.82298	280.085	35.8366	58.9881	501.554	0.0	44.9378	2.75908	212.881	4.07908	19.2687	17.3106	0.0	0.0	170.82	1.77955	0.0	154.957	21.28	167.302	48.765	0.0	0.0	394.454	49.3746	25.1772	30.2982	241.355	21.7816	0.0	315.498	75.6925	0.0	3.08367	69.2067	0.0	97.6104	0.0	11.069	221.542	24.8731	7.73226	0.0	1.26727	0.0	31.3658	0.0	0.0	202.149	13.7546	1.1586	0.0	2.95392	214.245	12.757	31.3223	31.3686	13.6281	4.75183	443.734	2.09938	2.00534	0.0	25.694	0.856644	5.96559	1.21188	172.373	6.6293	46.8832	0.0	0.0	0.0	44.2233	94.822	0.0	0.0	4.10536	32.1203
MGB053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.7013275	0.0	0.0	0.0	0.0	0.0	0.0	38.593805	2.84998225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1975544999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3679675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.522805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MGB032	213.7785	1.016795	0.0	1.27496	1.659955	59.95835	0.0	0.0	0.0	33.79185	10.51202	0.0	0.0	5.075918	2.242575	219.93200000000002	0.4434455	79.59415	148.44650000000001	0.0	15.4739	3.081695	409.12699999999995	98.625875	20.54698	4.072505	0.0	0.0	4.05358	8.829965	0.0	64.1949	24.35235	217.0815	6.58965	1.874545	0.0	138.156	13.8641	33.23995	10.839739999999999	203.872	1.755905	0.0	2.098555	106.33815	23.59505	21.713794999999998	495.0955	0.693185	98.85105	0.0	32.168475	0.755265	15.029965	7.3881	97.52475	0.3473245	0.0	36.91885	0.0	0.0	181.412	10.251315000000002	0.0	0.0	0.0	181.23649999999998	4.848305	150.1655	243.5072	0.0	6.08408	153.34449999999998	3.1286899999999997	4.00021	125.15324	128.83575000000002	7.8908	0.0	0.0	390.5705	12.466000000000001	14.0997	0.0	0.0	1.737185	13.87215	44.11221	0.0	0.0	6.54715	61.2964
MGB010	0.0	0.0	0.0	0.0	7.79435	0.0	0.0	0.0	0.0	125.089	0.0	0.0	0.0	38.3948	2.71157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.05719	0.0	0.0	0.0	0.363981	0.0	0.0	0.0	5.81771	26.7054	0.0	0.0	0.0	0.0	0.0	0.0	3.96928	0.0	0.0	0.0	4.83366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.9632	1.29536	5.0732	0.0	0.0	0.0	0.0	22.4002	0.0	15.8072	0.0	0.0	0.0	0.0	0.0	4.07692	0.0	0.0	0.0	0.0	0.0	1.91381	4.33672	0.0	0.0	0.0	1.76946	1.28863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.887084	23.3677	0.0	0.0	54.9997	0.0
MGB054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.19403	0.0	10.1222	0.0	0.0	0.0	58.6349	0.0	0.0	0.0	19.9602	0.0	0.0	0.0	0.0	0.0	0.0	201.392	2.94441	0.0	2.04262	0.0	0.0	0.0	91.9514	0.0	39.957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.10824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MGB019	148.845	0.0	136.847	0.0	34.8069	17.0367	1.01338	140.558	0.0	114.422	5.72839	35.4875	1.73799	16.3211	0.0	193.909	0.0	48.0848	2.93882	0.0	31.455	3.12144	4.13472	35.0387	7.95414	2.88855	0.0	0.0	6.9773	2.44872	7.98265	82.9708	11.0388	82.3639	0.0	0.0	150.284	18.7869	32.188	29.4686	13.2107	219.652	1.19131	0.0	21.8191	141.109	0.0	1.43589	5.75305	11.4973	96.3959	0.0	17.0367	0.995906	7.8567	4.08469	0.0	1.58618	0.0	189.421	0.0	21.981	161.633	4.60306	0.932386	46.9995	0.0	32.785	1.65304	36.3855	14.7388	0.0	1.89906	47.8059	5.00204	2.65861	5.81766	26.0646	47.7308	130.418	0.0	5.16059	11.9255	2.69994	0.0	0.0	0.0	5.27843	209.319	0.0	0.0	44.7925	29.357
MGB004	0.0	0.0	0.0	0.0	0.0	32.41695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.727875000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.654515	0.0	3.7772550000000003	0.0	0.0	34.0489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.6631	7.444255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.284885	0.0	0.0	0.0	0.0	11.967310000000001	0.0	0.0	0.0	0.0
MGB048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.185125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.277005	0.0	0.0	16.974395	0.0	0.0	20.932439999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.69045	0.0	0.0	1.989615	0.0	0.0	0.0	0.0	0.0	0.0	5.21241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1269925	0.0	0.0	0.0	2.7520640000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.51166	0.0	0.0	0.0	0.0	2.169955	0.0	0.0	6.486815	0.0
MGB026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.66938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.2247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	162.228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.68111	0.0	0.0	0.0	0.0
MGB005	187.42	0.0	0.0	24.611530000000002	295.352	43.3486	5.692015	0.0	0.0	0.0	13.358854999999998	17.97885	0.0	26.1756	33.3306	230.52949999999998	0.0	60.0641	165.53300000000002	167.399	22.278	73.0563	439.122	163.0609	85.0738	6.5140899999999995	0.0	0.0	20.96145	660.912	9.18236	58.7757	32.3913	227.23499999999999	33.1113	453.654	0.0	124.5735	16.17805	21.7133	86.8875	214.405	40.0192	0.0	405.97	92.19	170.028	136.729	484.01099999999997	336.263	91.8725	0.0	56.01195	44.523	35.816	14.5	0.0	0.0	7.09926	223.397	0.0	262.5695	186.467	38.1079	49.2181	0.0	0.0	214.49200000000002	158.78879999999998	49.8566	19.5779	0.0	7.07774	184.4005	6.34093	0.0	144.22672	217.386	28.26555	54.6705	0.0	417.633	23.6605	255.505	4.321005	0.0	285.639	98.4733	163.735	539.772	0.0	180.158	35.4054
