Module	FS06_2016_S5_interleaved_Abundance-RPKs	FS25_2017_S56_interleaved_Abundance-RPKs	FS09_2016_S8_interleaved_Abundance-RPKs	FS34_2017_S27_interleaved_Abundance-RPKs	FS44_2017_S37_interleaved_Abundance-RPKs	FS54_2017_S47_interleaved_Abundance-RPKs	FS12_2016_S11_interleaved_Abundance-RPKs	FS62_2017_S55_interleaved_Abundance-RPKs	FS23_2017_S17_interleaved_Abundance-RPKs	FS39_2017_S32_interleaved_Abundance-RPKs	FS45_2017_S38_interleaved_Abundance-RPKs	FS07_2016_S6_interleaved_Abundance-RPKs	FS30_2017_S23_interleaved_Abundance-RPKs	FS13_2016_S12_interleaved_Abundance-RPKs	FS52_2017_S44_interleaved_Abundance-RPKs	FS50_2017_S43_interleaved_Abundance-RPKs	FS10_2016_S9_interleaved_Abundance-RPKs	FS17_2017_S14_interleaved_Abundance-RPKs	FS19_2017_S15_interleaved_Abundance-RPKs	FS33_2017_S26_interleaved_Abundance-RPKs	FS27_2017_S20_interleaved_Abundance-RPKs	FS53_2017_S46_interleaved_Abundance-RPKs	FS59_2017_S52_interleaved_Abundance-RPKs	FS51_2017_S45_interleaved_Abundance-RPKs	FS36_2017_S29_interleaved_Abundance-RPKs	FS46_2017_S39_interleaved_Abundance-RPKs	FS31_2017_S24_interleaved_Abundance-RPKs	FS41_2017_S34_interleaved_Abundance-RPKs	FS0A_2017_S57_interleaved_Abundance-RPKs	FS56_2017_S49_interleaved_Abundance-RPKs	FS22_2017_S16_interleaved_Abundance-RPKs	FS61_2017_S54_interleaved_Abundance-RPKs	FS47_2017_S40_interleaved_Abundance-RPKs	FS57_2017_S50_interleaved_Abundance-RPKs	FS05_2016_S4_interleaved_Abundance-RPKs	FS48_2017_S41_interleaved_Abundance-RPKs	FS58_2017_S51_interleaved_Abundance-RPKs	FS28_2017_S21_interleaved_Abundance-RPKs	FS01_2016_S1_interleaved_Abundance-RPKs	FS08_2016_S7_interleaved_Abundance-RPKs	FS32_2017_S25_interleaved_Abundance-RPKs	FS38_2017_S31_interleaved_Abundance-RPKs	FS42_2017_S35_interleaved_Abundance-RPKs	FS29_2017_S22_interleaved_Abundance-RPKs	FS35_2017_S28_interleaved_Abundance-RPKs	FS55_2017_S48_interleaved_Abundance-RPKs	FS02_2016_S2_interleaved_Abundance-RPKs	FS16_2017_S13_interleaved_Abundance-RPKs	FS40_2017_S33_interleaved_Abundance-RPKs	FS60_2017_S53_interleaved_Abundance-RPKs	FS37_2017_S30_interleaved_Abundance-RPKs	FS43_2017_S36_interleaved_Abundance-RPKs	FS0B_2017_S58_interleaved_Abundance-RPKs	FS24_2017_S18_interleaved_Abundance-RPKs	FS26_2017_S19_interleaved_Abundance-RPKs	FS49_2017_S42_interleaved_Abundance-RPKs	FS11_2016_S10_interleaved_Abundance-RPKs
MF0074	0.0	732.549	39.9508	0.0	0.0	34.1895	431.449	0.0	50.3839	0.0	0.0	0.0	83.6103	253.95	113.497	31.0852	668.812	9.57249	209.404	238.158	6.42922	104.257	69.1304	436.149	403.587	0.0	12.9834	2.90235	218.335	2.29713	54.2515	41.1133	9.37974	105.181	209.947	0.0	98.2483	43.8285	3.81259	88.4387	93.6789	348.412	703.195	1.66494	0.0	0.0	2.81454	142.85	0.0	0.0	4.29177	669.208	84.5237	62.0276	0.0	16.6407	88.4221
MF0031	0.0	327.04	1.23214	0.0	1.50603	0.0	161.388	0.0	29.624	0.0	14.0112	2.15447	0.0	2.93571	22.5774	6.13272	1.16874	1.42273	24.6455	48.6012	3.83063	60.7247	0.0	5.71522	497.657	0.0	8.71414	0.0	31.0154	5.21524	2.22744	0.0	0.0	3.36311	48.2258	0.0	38.8555	0.0	0.0	0.0	56.7941	117.439	339.882	0.0	0.0	0.0	0.0	4.16687	0.0	0.0	3.08317	311.186	10.22	10.0391	0.0	0.0	125.905
MF0075	0.0	0.0	24.8452	29.3117	2.81762	20.8807	5.13317	0.598048	0.0	0.0	20.7125	0.0	9.43451	26.2065	22.6756	9.90359	232.016	18.7173	147.714	87.8669	2.08683	10.7733	4.70966	203.917	0.0	0.0	184.768	10.109	79.7993	42.3012	0.0	12.4277	0.0	37.5116	0.0	0.0	101.357	24.8061	13.34	0.0	112.809	0.0	0.0	0.0	0.0	33.4219	0.0	74.2808	15.7947	0.0	0.0	30.3712	94.0178	25.1134	3.71826	2.41884	88.7464
MF0072	0.0	7.82342	30.85101	106.985	16.691933333333335	18.4047	2.46606	4.34926	133.046	30.4936	23.9712	84.0231	150.07496666666665	126.216	107.727	33.175	254.502	47.2429	48.761449999999996	33.725566666666666	202.00250666666668	24.1776	48.10413333333333	230.906	16.3728	21.94633333333333	79.01194333333333	94.2941	28.83294666666667	84.59262	52.3576	41.3467	8.17792	64.89516666666667	216.519	5.19524	158.618	132.08396666666667	50.3338	4.29441	67.7422	5.97379	0.0	104.87901666666666	0.0	121.90293333333334	55.9895	213.315	132.43075666666667	0.0	18.0202	0.0	33.193733333333334	135.36440000000002	0.0	15.7473	29.8878
MF0073	0.0	1.43192	9.10303	0.0	0.0	9.41203	0.0	0.0	0.0	0.0	0.0	0.0	8.0259	109.403	21.3228	4.31132	228.48	4.00799	0.0	43.6775	0.0	8.67337	0.0	176.111	0.0	0.0	15.3462	0.0	8.84704	0.0	0.0	7.61625	0.0	26.6866	0.0	0.0	59.6143	1.75665	0.0	0.0	100.185	0.0	0.0	0.0	0.0	0.0	0.0	144.265	0.0	0.0	0.0	0.0	13.2257	220.214	0.0	0.0	2.97035
MF0070	0.0	718.898	69.482	93.4142	44.5178	21.6356	456.516	5.20271	206.134	31.5205	56.6449	258.808	76.3044	187.45	181.355	146.039	231.98	63.0791	118.835	70.0903	276.392	90.9596	162.196	215.847	463.754	0.0	185.104	260.258	0.0	120.959	89.2586	20.0987	0.0	87.0655	443.443	11.4803	415.5	150.284	207.402	0.0	49.1363	765.647	664.987	125.919	5.45028	36.6631	179.924	453.052	18.9665	74.5637	16.8752	629.02	41.1217	391.09	10.8496	20.4167	59.4504
MF0071	0.0	0.0	59.9691	126.4388	25.55295	395.4262	0.0	0.0	233.3215	70.13035	31.17745	17.0911	154.161	166.5315	73.9153	62.925200000000004	0.0	75.92445000000001	193.814	206.26600000000002	0.0	63.37865000000001	105.1374	208.7465	0.0	10.52015	137.302	116.40965	157.06400000000002	77.8137	153.85399999999998	23.33945	50.135400000000004	102.25175	366.0605	33.655100000000004	198.096	200.381	73.5592	254.6558	199.28	0.0	0.0	0.0	0.0	227.80535	0.0	283.3385	87.95605	0.0	0.0	497.9575	74.75095	155.578	4.27457	42.735600000000005	170.674
MF0038	0.0	0.0	32.8889	0.0	0.0	0.0	0.0	0.0	0.0	94.4823	0.0	0.0	0.0	0.0	225.82	0.0	17.2405	0.0	100.707	71.2365	8.04775	0.0	128.568	0.0	0.0	0.0	109.797	134.868	76.9705	224.968	0.0	13.0216	0.0	143.444	58.6745	0.0	0.0	6.25587	0.0	0.0	77.2914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	380.813	0.0	0.0	0.0	46.1968	39.6234	0.0	0.0	253.674
MF0039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8303	2.07746	1.20353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.3704	1.60981	0.0	0.0	10.9729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.66013	0.0	0.0	0.0	0.0
MF0036	0.0	0.0	38.4714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.334415	106.173415	70.9281	0.0	11.1579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.5102	0.0	0.0	79.6875	0.0	17.519735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.998061666666665	10.886994999999999	0.0	0.0	0.0	0.0	0.0	0.0	3.9782199999999994	87.45473333333334
